"player_name","average_explosive_plays_per_game"
"K.Turpin",1
"L.Bell",1
"L.Perine",1
"L.Rountree",1
"M.Brown",1
"M.Corley",1
"M.Evans",1
"M.Glennon",1
"M.Goodwin",1
"M.Hayball",1
"M.Jones",1
"M.Mims",1
"M.Ryan",1
"M.Stafford",1
"M.Trubisky",1
"M.Washington",1
"N.Dell",1
"O.Beckham",1
"O.Zaccheaus",1
"P.Campbell",1
"P.Lindsay",1
"P.Nacua",1
"P.Taylor",1
"P.Walker",1
"R.Anderson",1
"R.Armstead",1
"R.Bateman",1
"R.Blackshear",1
"R.Doubs",1
"R.Johnson",1
"R.McCloud",1
"R.Moore",1
"R.Pearsall",1
"R.Rivers",1
"R.Shaheed",1
"R.Woods",1
"S.Chandler",1
"S.Ehlinger",1
"S.Howell",1
"S.Mannion",1
"S.Moore",1
"S.Rattler",1
"S.Shepard",1
"T.Atwell",1
"T.Badie",1
"T.Boyd",1
"T.Boyle",1
"T.Brady",1
"T.Burks",1
"T.Davis-Price",1
"T.Dell",1
"T.Ebner",1
"T.Homer",1
"T.Irwin",1
"T.Jones",1
"T.McAllister",1
"T.McLaurin",1
"T.McSorley",1
"T.Palmer",1
"T.Scott",1
"T.Siemian",1
"T.Taylor",1
"T.Thornton",1
"T.Tucker",1
"Ty.Taylor",1
"V.Jefferson",1
"W.Robinson",1
"W.Smallwood",1
"X.Gipson",1
"X.Hutchinson",1
"X.Smith",1
"X.Worthy",1
"Z.Flowers",1
"Z.Jones",1
"Z.Pascal",1
