batter,player_name,mean_swing_speed,mean_estimated_woba,pitch_count,swing_speed_rank
660670,"Acuña Jr., Ronald",74.64940614525139,0.3257793103448276,358,14.0
660688,"Ruiz, Keibert",64.93820134401973,0.25717814726840854,811,403.0
660707,"Montero, Elehuris",73.52997306976744,0.2522445652173913,430,24.0
660766,"Yepez, Juan",69.00965981210857,0.27896279069767443,479,254.0
660821,"Sánchez, Jesús",72.93416852077002,0.33196674584323044,987,39.0
661388,"Contreras, William",72.66035384300899,0.3298,1223,53.0
662139,"Varsho, Daulton",71.78883772527472,0.22915174129353233,910,82.0
663368,"Perkins, Blake",65.92669581491712,0.2579352112676056,724,380.0
663457,"Nootbaar, Lars",70.49407384615385,0.3330921052631579,598,152.0
663527,"Nevin, Tyler",66.09239754098361,0.2485990566037736,488,377.0
663538,"Hoerner, Nico",66.7118522190746,0.2892905660377359,1059,356.0
663586,"Riley, Austin",73.13087739759035,0.35449577464788734,830,34.0
663616,"Larnach, Trevor",71.0902337537092,0.3240716510903427,674,112.0
663624,"Mountcastle, Ryan",73.49468735586481,0.30598152424942265,1006,25.0
663647,"Hayes, Ke'Bryan",70.43034135593221,0.26965676567656766,590,157.0
663656,"Tucker, Kyle",69.6651322113503,0.37250643776824033,511,212.0
663662,"Cameron, Daz",70.24758565982404,0.270474025974026,341,168.0
663697,"India, Jonathan",69.36691833876222,0.3166798143851508,921,234.0
663698,"Bart, Joey",72.64752350622408,0.3278387096774194,482,54.0
663728,"Raleigh, Cal",72.82429689935064,0.3268877551020408,1232,44.0
663743,"Fortes, Nick",67.27880357142858,0.2375830258302583,518,335.0
663757,"Grisham, Trent",67.50754544554455,0.28089261744966443,303,328.0
663837,"Vierling, Matt",69.82016456888009,0.290796218487395,1009,200.0
663853,"Gonzalez, Romy",72.64726657718121,0.30716931216931215,447,55.0
663886,"Stephenson, Tyler",68.71738558457712,0.30588461538461537,804,272.0
663898,"Rodgers, Brendan",69.61348859708193,0.2865304568527919,891,215.0
663993,"Lowe, Nathaniel",71.66805894684052,0.2952427616926503,997,89.0
664023,"Happ, Ian",70.56714324894516,0.31526546906187625,1185,149.0
664034,"France, Ty",69.3147158127572,0.265436018957346,972,238.0
664040,"Lowe, Brandon",70.95398332163742,0.3318080229226361,855,122.0
664056,"Bader, Harrison",69.11637158536585,0.27763414634146344,738,244.0
664238,"Moore, Dylan",70.99277748290014,0.2571238390092879,731,116.0
664314,"Florial, Estevan",70.81866162679427,0.22092499999999998,209,132.0
664728,"Isbel, Kyle",68.74794872701555,0.2504356725146199,707,268.0
664761,"Bohm, Alec",70.95928782089553,0.33322619047619045,1005,121.0
664774,"Wade Jr., LaMonte",70.48810003184714,0.3096983050847458,628,153.0
664901,"Mendick, Danny",65.1223125203252,0.2214778761061947,246,400.0
664913,"Brown, Seth",71.50675495351925,0.2916871165644172,753,92.0
