batter,player_name,mean_exit_velo,mean_estimated_woba,pitch_count,exit_velo_rank
666163,"Rortvedt, Ben",80.14750656167979,0.2975151515151515,198,361.0
666176,"Adell, Jo",81.35477386934674,0.40527240143369175,279,300.0
666181,"Benson, Will",82.59810426540285,0.39852127659574466,188,194.0
666182,"Bichette, Bo",82.33828451882844,0.3470627615062762,239,219.0
666185,"Carlson, Dylan",80.74256559766764,0.3003680981595092,163,335.0
666310,"Naylor, Bo",82.46875,0.3425080645161291,248,205.0
666397,"Julien, Edouard",83.04134615384616,0.38414197530864197,162,147.0
666624,"Morel, Christopher",83.66868537666174,0.3833882978723404,376,94.0
666969,"García, Adolis",84.24183417085428,0.39226913580246914,405,62.0
666971,"Gurriel Jr., Lourdes",81.9337064676617,0.3635450121654501,411,256.0
667452,"Julks, Corey",79.38223140495867,0.32218548387096774,124,379.0
667670,"Rooker, Brent",83.86251691474966,0.5152621621621621,370,82.0
668227,"Arozarena, Randy",83.24159779614325,0.38183597883597886,378,129.0
668670,"Rogers, Jake",83.90050251256282,0.4043408071748879,223,79.0
668709,"Bleday, JJ",82.51801801801801,0.35266439909297054,441,199.0
668715,"Steer, Spencer",82.20543735224587,0.3474724770642202,436,227.0
668804,"Reynolds, Bryan",83.89756380510441,0.42063123644251627,461,80.0
668885,"Martin, Austin",80.60375,0.33165591397849464,186,343.0
668901,"Vientos, Mark",84.51694630872483,0.4602012578616352,318,47.0
668904,"Lewis, Royce",80.33613636363637,0.37916289592760183,221,355.0
668930,"Turang, Brice",80.55648148148147,0.323305376344086,465,344.0
668939,"Rutschman, Adley",83.10687361419068,0.3429811320754717,477,141.0
668942,"Rojas, Josh",82.69865996649916,0.3342747603833866,313,185.0
669003,"Mitchell, Garrett",82.34791666666666,0.4156850393700788,127,217.0
669004,"Melendez, MJ",84.25030581039755,0.39226602564102564,312,59.0
669016,"Marsh, Brandon",83.94604569420035,0.43026618705035974,278,77.0
669065,"Stowers, Kyle",82.94296875,0.4203728813559322,118,160.0
669127,"Langeliers, Shea",84.76835637480798,0.4302106824925816,337,32.0
669134,"Campusano, Luis",82.54945652173913,0.30437327188940094,217,198.0
669221,"Murphy, Sean",82.22555205047318,0.365933734939759,166,224.0
669222,"Senzel, Nick",79.82545454545455,0.3432857142857143,175,367.0
669224,"Wells, Austin",81.59914089347079,0.38461324041811845,287,277.0
669234,"Malloy, Justyn-Henry",81.73295880149813,0.3745238095238095,126,272.0
669242,"Edman, Tommy",81.90498084291188,0.3131466666666667,150,259.0
669257,"Smith, Will",83.07858910891089,0.37164050632911394,395,144.0
669261,"Suwinski, Jack",82.48443804034582,0.3717939393939394,165,202.0
669289,"Espinal, Santiago",80.41116666666666,0.3068273615635179,307,349.0
669304,"Miranda, Jose",84.19663865546218,0.3389852507374631,339,68.0
669357,"Gorman, Nolan",82.80913242009133,0.4700710900473934,211,175.0
669364,"Edwards, Xavier",79.70993227990971,0.31022685185185184,216,371.0
669394,"Burger, Jake",84.78409742120344,0.4326763157894737,380,31.0
669701,"Smith, Josh",81.12844611528823,0.33357777777777775,405,312.0
669707,"Triolo, Jared",81.87898550724637,0.34687545787545787,273,261.0
669720,"Hays, Austin",83.29869281045752,0.34423295454545455,176,124.0
669911,"Toglia, Michael",84.63946869070209,0.5083070866141732,254,37.0
