p_throws,batter,player_name,mean_estimated_woba,pitch_count,pitch_hand_woba_rank
R,620443,"Torrens, Luis",0.3377262272727273,88,193.0
R,621020,"Swanson, Dansby",0.31012188336933044,463,381.0
R,621028,"Newman, Kevin",0.2857979602272727,176,579.0
R,621035,"Taylor, Chris",0.3164869677419355,155,326.0
R,621043,"Correa, Carlos",0.35450975636363635,275,119.0
R,621438,"Taylor, Tyrone",0.2970292527472528,273,495.0
R,621439,"Buxton, Byron",0.3523623014184397,282,127.0
R,621466,"Stewart, DJ",0.34074425142857145,175,179.0
R,621493,"Ward, Taylor",0.34498305103969756,529,162.0
R,621512,"Nido, Tomás",0.3113624943820225,89,374.0
R,621550,"Wisdom, Patrick",0.27516891304347824,69,646.0
R,621566,"Olson, Matt",0.350719581300813,492,135.0
R,622534,"Margot, Manuel",0.28171543529411763,170,596.0
R,622761,"Mateo, Jorge",0.25519872807017546,114,731.0
R,623912,"Ramírez, Harold",0.26254840714285715,140,700.0
R,623993,"Santander, Anthony",0.32913843092783507,485,253.0
R,624413,"Alonso, Pete",0.3541068111510791,556,120.0
R,624415,"Biggio, Cavan",0.2537693681318681,182,737.0
R,624424,"Conforto, Michael",0.3391860404312668,371,183.0
R,624428,"Frazier, Adam",0.29187655,260,540.0
R,624431,"Trevino, Jose",0.2603778984375,128,709.0
R,624503,"Gordon, Nick",0.2762748016528926,242,639.0
R,624512,"McGuire, Reese",0.29720875187969925,133,491.0
R,624585,"Soler, Jorge",0.34787279277108435,415,148.0
R,624641,"Sosa, Edmundo",0.28145759210526317,152,602.0
R,628451,"Ibáñez, Andy",0.21162658888888888,90,793.0
R,630105,"Cronenworth, Jake",0.3656870062111801,483,85.0
R,641313,"Anderson, Tim",0.23691904827586208,145,773.0
R,641343,"Bauers, Jake",0.30657202229299363,314,415.0
R,641355,"Bellinger, Cody",0.3067624040920716,391,412.0
R,641432,"Calhoun, Willie",0.30822292342342344,222,398.0
R,641487,"Crawford, J.P.",0.2923757926421405,299,536.0
R,641584,"Fraley, Jake",0.2876718348909657,321,568.0
R,641598,"Garver, Mitch",0.24921340148698884,269,746.0
R,641645,"Guillorme, Luis",0.2832328263473054,167,588.0
R,641658,"Hampson, Garrett",0.25987533962264153,106,712.0
R,641680,"Heim, Jonah",0.26694643126684636,371,683.0
R,641857,"McMahon, Ryan",0.33039804629629627,432,249.0
R,641933,"O'Neill, Tyler",0.2973130746753247,308,489.0
R,641943,"Palacios, Joshua",0.3499621515151515,66,139.0
R,642086,"Smith, Dominic",0.31032048046875,256,380.0
R,642133,"Tellez, Rowdy",0.3057611203208556,374,423.0
R,642136,"Thaiss, Matt",0.3052579724137931,145,429.0
R,642180,"Wade, Tyler",0.2929137438016529,121,530.0
R,642350,"Siri, Jose",0.2936183507692308,325,522.0
R,642708,"Rosario, Amed",0.26727262727272727,220,680.0
R,642715,"Adames, Willy",0.3539190643274854,513,121.0
R,642731,"Estrada, Thairo",0.2631802391304348,276,696.0
R,643217,"Benintendi, Andrew",0.30953433164556965,395,386.0
R,643265,"Cooper, Garrett",0.30054220833333334,72,465.0
R,643289,"Dubón, Mauricio",0.27724312374581944,299,629.0
R,643376,"Jansen, Danny",0.2864086855895197,229,577.0
R,643396,"Kiner-Falefa, Isiah",0.2865236931818182,352,576.0
R,643446,"McNeil, Jeff",0.2987597016574586,362,474.0
R,643565,"Tauchman, Mike",0.33538621071428576,280,211.0
R,645277,"Albies, Ozzie",0.29654546341463417,328,500.0
R,645302,"Robles, Victor",0.322649835106383,188,286.0
R,645305,"Sánchez, Ali",0.22981072131147542,61,781.0
R,645444,"Herrera, Jose",0.24282981690140845,71,764.0
R,646240,"Devers, Rafael",0.4034791008403361,357,20.0
R,647304,"Naylor, Josh",0.33555045940170936,468,210.0
R,647351,"Toro, Abraham",0.28999330714285715,280,550.0
R,650333,"Arraez, Luis",0.33910193621399176,486,184.0
R,650391,"Jiménez, Eloy",0.3064106349206349,252,417.0
R,650402,"Torres, Gleyber",0.3153742359767892,517,340.0
R,650489,"Castro, Willi",0.3388390255319149,470,186.0
R,650490,"Díaz, Yandy",0.31486384680851065,470,346.0
R,650559,"De La Cruz, Bryan",0.2943706463700234,427,514.0
R,650859,"Rengifo, Luis",0.2914478647540984,244,543.0
R,655316,"Monasterio, Andruw",0.3155154027777778,72,338.0
R,656180,"Adams, Riley",0.3165046266666667,75,325.0
R,656248,"Bouchard, Sean",0.26467266666666667,72,689.0
R,656305,"Chapman, Matt",0.33281852016985136,471,234.0
R,656413,"Fairchild, Stuart",0.2787952075471698,106,617.0
R,656537,"Hill, Derek",0.2628126442307692,104,699.0
R,656541,"Hilliard, Sam",0.3017882090909091,110,455.0
R,656555,"Hoskins, Rhys",0.3019895347043702,389,452.0
R,656577,"Jackson, Alex",0.22982784536082473,97,780.0
R,656582,"Joe, Connor",0.27554883333333335,240,645.0
R,656716,"McKinstry, Zach",0.3022571328903655,301,450.0
R,656775,"Mullins, Cedric",0.3017658527918782,394,456.0
R,656811,"O'Hearn, Ryan",0.3621960289532294,449,93.0
R,656896,"Rivera, Emmanuel",0.32183006936416186,173,294.0
R,656941,"Schwarber, Kyle",0.3888576129753915,447,36.0
