batter,player_name,mean_estimated_woba,pitch_count,risp_woba_rank
670770,"Friedl, TJ",0.3668871463414634,82,55.0
671056,"Herrera, Iván",0.3695771549295775,71,53.0
671213,"Casas, Triston",0.3192245882352941,51,175.0
671218,"Ramos, Heliot",0.3306077086614173,127,137.0
671277,"García Jr., Luis",0.3466413310810811,148,97.0
671289,"Freeman, Tyler",0.33115406756756754,74,136.0
671732,"Butler, Lawrence",0.38013389610389614,77,39.0
671739,"Harris II, Michael",0.32655092380952383,105,146.0
672275,"Bailey, Patrick",0.2920705086206896,116,265.0
672279,"Siani, Michael",0.20982172941176472,85,392.0
672284,"Kelenic, Jarred",0.2828178202247191,89,295.0
672356,"Arias, Gabriel",0.22855258333333336,48,379.0
672386,"Kirk, Alejandro",0.2820193953488372,129,298.0
672515,"Moreno, Gabriel",0.39836558333333333,96,23.0
672580,"Garcia, Maikel",0.31594158278145695,151,184.0
672640,"Lopez, Otto",0.29630541666666665,84,251.0
672695,"Perdomo, Geraldo",0.26570285585585585,111,339.0
672761,"Pérez, Wenceel",0.2891954130434783,92,276.0
672820,"Sosa, Lenyn",0.37335093902439026,82,48.0
673237,"Diaz, Yainer",0.33774102923976607,171,119.0
673357,"Robert Jr., Luis",0.3265271573033708,89,147.0
673490,"Kim, Ha-Seong",0.33678583620689656,116,122.0
673548,"Suzuki, Seiya",0.3227196849315069,146,159.0
676059,"Westburg, Jordan",0.37420493,100,45.0
676356,"DeLuca, Jonny",0.24174716,100,372.0
676369,"Velázquez, Nelson",0.3869578955223881,67,32.0
676391,"Clement, Ernie",0.2898492195121951,123,273.0
676475,"Burleson, Alec",0.325880965034965,143,149.0
676609,"Caballero, José",0.25580956250000003,128,358.0
676694,"Meyers, Jake",0.3199946554054054,148,172.0
676801,"McCormick, Chas",0.27161264102564103,78,324.0
676914,"Schneider, Davis",0.2993526574074074,108,235.0
677587,"Rocchio, Brayan",0.26134536585365853,123,346.0
677594,"Rodríguez, Julio",0.34944682733812954,139,89.0
677649,"Duran, Ezequiel",0.2575142388059702,67,354.0
677800,"Abreu, Wilyer",0.2955340923076923,130,254.0
677870,"Jiménez, Leo",0.28060322,50,300.0
677942,"Alexander, Blaze",0.24264109433962264,53,370.0
677951,"Witt Jr., Bobby",0.4533166319018405,163,4.0
678009,"Meadows, Parker",0.250409046875,64,367.0
678246,"Vargas, Miguel",0.2122174666666667,45,389.0
678662,"Tovar, Ezequiel",0.298602075862069,145,240.0
678877,"Noel, Jhonkensy",0.38399554,50,34.0
678882,"Rafaela, Ceddanne",0.2868544666666667,150,284.0
679032,"Rojas, Johan",0.29194198095238094,105,266.0
679529,"Torkelson, Spencer",0.26154975,112,345.0
680474,"Schuemann, Max",0.2521546574074074,108,364.0
680700,"Palacios, Richie",0.30668030645161287,62,202.0
680718,"Barger, Addison",0.36454188888888894,54,62.0
680757,"Kwan, Steven",0.351455,102,86.0
680776,"Duran, Jarren",0.3241422075471698,159,157.0
680777,"Jeffers, Ryan",0.30610565909090914,132,205.0
680869,"Gelof, Zack",0.27341186507936505,126,318.0
680977,"Donovan, Brendan",0.35523731446540885,159,75.0
681082,"Stott, Bryson",0.2811791395348837,129,299.0
681146,"Bride, Jonah",0.21927368674698794,83,386.0
681297,"Cowser, Colton",0.2994835390070922,141,233.0
