"team","conference.x","overall_eff","overall_rnk","offense_eff","offense_rnk","defense_eff","defense_rnk","special_teams_eff","special_teams_rnk","OVERALL_RNK_NORM","OFFENSE_RNK_NORM","DEFENSE_RNK_NORM","SPECIAL_TEAMS_RNK_NORM","conference.y","w_l","fpi.x","rk","trend","proj_w_l","win_out_percent","x6wins_percent","win_div_percent","win_conf_percent","playoff_percent","make_nc_percent","win_nc_percent","conf","sor","fpi.y","ap_cfp","sos","rem_sos","gc","avgwp","RK_NORM","COMPOSITE_SCORE"
"Charlotte 49ers","American","21.5",121,"23.6",113,"24.1",122,"68.7",21,1.37792354656049,1.17187890408415,1.40367912687003,-1.1976344843937,"American","2-3","-16.2","123","1","3.6-8.4","0.0","6.1","0.0","0.1","0.0","0.0","0.0","American",91,"123","--","46","93","128","131",0.606425969265049,0.688961773280245
"Air Force Falcons","Mountain West","20.5",122,"12.2",130,"47.6",82,"43.7",92,1.40367912687003,1.60972376934637,0.373455914488357,0.631011717583776,"Mountain West","1-3","-13.7","119","3","3.4-8.6","0.0","7.6","0.0","0.0","0.0","0.0","0.0","Mountain West",126,"119","--","115","98","118","108",1.5087539501829,1.00446763207213
"Massachusetts Minutemen","FBS Indep.","18.9",123,"34.0",96,"27.3",119,"10.5",134,1.42943470717957,0.734034038821943,1.32641238594141,1.71274609058453,"FBS Indep.","1-4","-18.7","129","3","2.6-9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.0","FBS Indep.",130,"129","--","121","35","133","123",1.61187714800209,1.30065680563186
"Ball State Cardinals","MAC","18.4",124,"31.7",99,"11.7",134,"65.8",28,1.45519028748912,0.811300779750569,1.71274609058453,-1.0173454222269,"MAC","1-3","-22.4","133","5","2.7-9.3","0.0","1.5","0.0","0.0","0.0","0.0","0.0","MAC",108,"133","--","25","105","106","124",1.04469955999658,0.740472933899329
"Wyoming Cowboys","Mountain West","17.6",125,"22.5",115,"25.1",121,"39.6",99,1.48094586779866,1.22339006470324,1.37792354656049,0.811300779750569,"Mountain West","1-4","-15.4","122","3","3.2-8.8","0.0","2.8","0.0","0.2","0.0","0.0","0.0","Mountain West",124,"122","--","83","85","130","126",1.45719235127331,1.22339006470324
"Utah State Aggies","Mountain West","16.7",126,"30.3",101,"17.3",130,"37.9",103,1.5067014481082,0.862811940369652,1.60972376934637,0.914323100988736,"Mountain West","1-3","-16.8","124","2","3.3-8.7","0.0","4.7","0.0","0.1","0.0","0.0","0.0","Mountain West",120,"124","--","50","80","101","111",1.35406915345413,1.22339006470324
"Temple Owls","American","16.0",127,"14.3",127,"27.1",120,"53.1",63,1.53245702841774,1.53245702841774,1.35216796625095,-0.115900111392938,"American","1-4","-19.5","130","3","2.4-9.6","0.0","0.4","0.0","0.0","0.0","0.0","0.0","American",121,"130","--","63","89","131","133",1.37984995290892,1.07529547792337
"UTEP Miners","CUSA","15.6",128,"14.5",126,"35.0",105,"27.9",126,1.55821260872728,1.5067014481082,0.96583426160782,1.5067014481082,"CUSA","0-4","-17.9","127","2","2.9-9.1","0.0","2.5","0.0","0.2","0.0","0.0","0.0","CUSA",132,"127","--","93","59","124","128",1.66343874691168,1.38436244163788
"Rice Owls","American","14.5",129,"19.7",119,"27.4",118,"21.7",133,1.58396818903682,1.32641238594141,1.30065680563186,1.68699051027499,"American","1-4","-12.8","116","3","3.0-9.0","0.0","2.3","0.0","0.0","0.0","0.0","0.0","American",131,"116","--","114","82","127","112",1.63765794745688,1.47450697272127
"New Mexico State Aggies","CUSA","14.4",130,"13.3",129,"23.9",123,"55.1",57,1.60972376934637,1.58396818903682,1.42943470717957,-0.27043359325019,"CUSA","1-4","-21.0","131","2","2.8-9.2","0.0","1.4","0.0","0.0","0.0","0.0","0.0","CUSA",129,"131","--","122","83","132","121",1.58609634854729,1.08817326807814
"Middle Tennessee Blue Raiders","CUSA","12.0",131,"20.1",118,"13.6",131,"63.0",36,1.63547934965591,1.30065680563186,1.63547934965591,-0.811300779750569,"CUSA","1-4","-17.8","126","4","3.9-8.2","0.1","10.9","0.0","0.3","0.0","0.0","0.0","CUSA",119,"126","--","19","134","126","129",1.32828835399933,0.940078681298278
"Southern Miss Golden Eagles","Sun Belt","11.3",132,"16.7",125,"19.7",129,"35.0",114,1.66123492996545,1.48094586779866,1.58396818903682,1.1976344843937,"Sun Belt","1-3","-17.7","125","1","2.5-9.5","0.0","1.2","0.2","0.0","0.0","0.0","0.0","Sun Belt",118,"125","--","91","86","119","119",1.30250755454454,1.48094586779866
"Kennesaw State Owls","CUSA","10.1",133,"7.0",134,"20.5",127,"79.7",3,1.68699051027499,1.71274609058453,1.53245702841774,-1.66123492996545,"CUSA","0-4","-21.3","132","1","1.8-10.2","0.0","0.6","0.0","0.0","0.0","0.0","0.0","CUSA",132,"132","--","118","119","134","130",1.66343874691168,0.817739674827954
"Kent State Golden Flashes","MAC","7.0",134,"11.5",132,"11.7",133,"46.7",85,1.71274609058453,1.66123492996545,1.68699051027499,0.450722655416983,"MAC","0-5","-28.4","134","--","1.2-10.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","MAC",132,"134","--","1","129","129","134",1.66343874691168,1.37792354656049
